GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
LicenseScout Maven Utilities,org.aposin.licensescout.maven.utils,ArtifactHelper,5,57,1,1,2,14,2,3,1,3
LicenseScout Maven Utilities,org.aposin.licensescout.maven.utils,ArtifactItem,3,33,0,0,2,12,1,6,1,6
